Algorithm,Comparisons,Swaps,Time(microseconds)
Selection Sort,199990000,19985,2000667
Merge Sort,260953,287232,7810
Quick Sort,361166,67485,2533
Heap Sort,362821,268387,81018
Bubble Sort,199983097,99836834,5608564
Insertion Sort,99836834,99836834,2701298
Selection Sort,199990000,19988,2094711
Merge Sort,260951,287232,7080
Quick Sort,352902,67555,2492
Heap Sort,362978,268497,80565
Bubble Sort,199976797,100065080,5311450
Insertion Sort,100065080,100065080,3099092
Selection Sort,199990000,19988,2096126
Merge Sort,260778,287232,7088
Quick Sort,405015,66911,2578
Heap Sort,362709,268354,4794
Bubble Sort,199982125,99290995,5078455
Insertion Sort,99290995,99290995,2623217
Selection Sort,199990000,19988,2093870
Merge Sort,260973,287232,7099
Quick Sort,349088,67643,77249
Heap Sort,362877,268539,4804
Bubble Sort,199959619,99858804,5196493
Insertion Sort,99858804,99858804,2610208
Selection Sort,199990000,19989,1985674
Merge Sort,260784,287232,9604
Quick Sort,336051,68196,2613
Heap Sort,362617,268322,4928
Bubble Sort,199983895,99492786,5104120
Insertion Sort,99492786,99492786,2486190
Selection Sort,199990000,19988,1907002
Merge Sort,260927,287232,7091
Quick Sort,356576,67797,2513
Heap Sort,363121,268409,78508
Bubble Sort,199978825,100298287,5222247
Insertion Sort,100298287,100298287,2794358
Selection Sort,199990000,19991,2297750
Merge Sort,260858,287232,85779
Quick Sort,346564,67584,2482
Heap Sort,362744,268306,4856
Bubble Sort,199979269,99875007,5205066
Insertion Sort,99875007,99875007,2796602
Selection Sort,199990000,19993,2098378
Merge Sort,260971,287232,7633
Quick Sort,356742,67217,2522
Heap Sort,362711,268313,80110
Bubble Sort,199984222,99836721,5713022
Insertion Sort,99836721,99836721,2502864
Selection Sort,199990000,19988,1989480
Merge Sort,260875,287232,7185
Quick Sort,354367,67709,2482
Heap Sort,362859,268524,4844
Bubble Sort,199958625,100402096,4887453
Insertion Sort,100402096,100402096,2501651
Selection Sort,199990000,19989,2210542
Merge Sort,260983,287232,84997
Quick Sort,338922,68150,3223
Heap Sort,363034,268487,6511
