Algorithm,Size,Comparisons,Swaps,Time(microseconds)
Heap Sort,34000,656389,481704,8499
Bubble Sort,35500,630101894,314197212,4200586
Insertion Sort,35500,314197212,314197212,4139747
Selection Sort,35500,630107250,35486,6501787
Merge Sort,35500,491919,537964,19348
Quick Sort,35500,659426,128055,83626
Heap Sort,35500,688229,505253,11904
Bubble Sort,37000,684406422,340599664,19085854
Insertion Sort,37000,340599664,340599664,8496523
Selection Sort,37000,684481500,36988,6624086
Merge Sort,37000,515192,563464,88214
Quick Sort,37000,680356,134181,4708
Heap Sort,37000,721195,529421,86183
Bubble Sort,38500,741085850,371087631,20608340
Insertion Sort,38500,371087631,371087631,8788638
Selection Sort,38500,741105750,38485,7210705
Merge Sort,38500,538565,588964,92978
Quick Sort,38500,713677,140118,5627
Heap Sort,38500,752932,552718,11044
Bubble Sort,40000,799950110,401366594,22181868
Insertion Sort,40000,401366594,401366594,10500855
Selection Sort,40000,799980000,39980,7798570
Merge Sort,40000,561750,614464,15718
Quick Sort,40000,741461,146605,79632
Heap Sort,40000,784981,576556,10197
Bubble Sort,41500,861102539,434212896,24190576
Insertion Sort,41500,434212896,434212896,10200739
Selection Sort,41500,861104250,41489,8321663
Merge Sort,41500,585038,639964,93480
Quick Sort,41500,788443,151310,81278
Heap Sort,41500,817947,600597,10652
Bubble Sort,43000,924473844,462992054,25213201
Insertion Sort,43000,462992054,462992054,11578399
Selection Sort,43000,924478500,42981,8901904
Merge Sort,43000,608466,665464,15991
Quick Sort,43000,805627,158850,80006
Heap Sort,43000,850835,624746,11197
Bubble Sort,44500,990089220,496086264,27599997
Insertion Sort,44500,496086264,496086264,11591609
Selection Sort,44500,990102750,44487,9602900
Merge Sort,44500,631714,690964,91997
Quick Sort,44500,820316,166137,5814
Heap Sort,44500,883664,648931,11519
Bubble Sort,46000,1057951349,528204465,29096488
Insertion Sort,46000,528204465,528204465,12887288
Selection Sort,46000,1057977000,45988,10218216
Merge Sort,46000,655574,716464,91613
Quick Sort,46000,882489,170453,5947
Heap Sort,46000,917354,673042,87399
Bubble Sort,47500,1128078459,565025202,32912510
Insertion Sort,47500,565025202,565025202,14687256
Selection Sort,47500,1128101250,47491,11517696
Merge Sort,47500,678927,741964,94701
Quick Sort,47500,947816,173985,81219
Heap Sort,47500,950161,697066,13055
Bubble Sort,49000,1200467244,600041054,34394399
Insertion Sort,49000,600041054,600041054,14211251
Selection Sort,49000,1200475500,48983,11396125
Merge Sort,49000,702163,767464,92719
Quick Sort,49000,950128,183075,6402
Heap Sort,49000,984908,721303,88224
Bubble Sort,50500,1275065559,639293610,35101261
Insertion Sort,50500,639293610,639293610,15112171
Selection Sort,50500,1275099750,50486,12191079
Merge Sort,50500,726386,792964,93596
Quick Sort,50500,980747,189320,6701
Heap Sort,50500,1017280,745404,13241
Bubble Sort,52000,1351959465,674297928,37179771
